sports,"Sport (UK) or sports (US) are all usually forms of competitive physical activity or games which, through casual or organised participation, aim to use, maintain or improve physical ability and skills while providing enjoyment to participants, and in some cases, entertainment for spectators.[2] Usually the contest or game is between two sides, each attempting to exceed the other. Some sports allow a tie game; others provide tie-breaking methods, to ensure one winner and one loser. A number of such two-sided contests may be arranged in a tournament producing a champion. Many sports leagues make an annual champion by arranging games in a regular sports season, followed in some cases by playoffs. Hundreds of sports exist, from those between single contestants, through to those with hundreds of simultaneous participants, either in teams or competing as individuals. In certain sports such as racing, many contestants may compete, each against each other, with one winner."
sports,"Sport is generally recognised as system of activities which are based in physical athleticism or physical dexterity, with the largest major competitions such as the Olympic Games admitting only sports meeting this definition,[3] and other organisations such as the Council of Europe using definitions precluding activities without a physical element from classification as sports.[2] However, a number of competitive, but non-physical, activities claim recognition as mind sports. The International Olympic Committee (through ARISF) recognises both chess and bridge as bona fide sports, and SportAccord, the international sports federation association, recognises five non-physical sports: bridge, chess Pictures of Chess, draughts (checkers), Go, and xiangqi,and limits the number of mind games which can be admitted as sports."
sports,"Sports are usually governed by a set of rules or customs, which serve to ensure fair competition, and allow consistent adjudication of the winner. Winning can be determined by physical events such as scoring goals or crossing a line first. It can also be determined by judges who are scoring elements of the sporting performance, including objective or subjective measures such as technical performance or artistic impression."
sports,"Records of performance are often kept, and for popular sports, this information may be widely announced or reported in sport news. Sport is also a major source of entertainment for non-participants, with spectator sport drawing large crowds to sport venues, and reaching wider audiences through broadcasting. Sports betting is in some cases severely regulated, and in some cases is central to the sport."
sports,"According to A.T. Kearney, a consultancy, the global sporting industry is worth up to $620 billion as of 2013.The world's most accessible and practised sport is running, while association football is its most popular spectator sport."
sports,"The word ""Sport"" comes from the Old French desport meaning ""leisure"", with the oldest definition in English from around 1300 being ""anything humans find amusing or entertaining""."
sports,"The word ""Sport"" comes from the Old French desport meaning ""leisure"", with the oldest definition in English from around 1300 being ""anything humans find amusing or entertaining""."
sports,"Other meanings include gambling and events staged for the purpose of gambling; hunting; and games and diversions, including ones that require exercise.[10] Roget's defines the noun sport as an ""activity engaged in for relaxation and amusement"" with synonyms including diversion and recreation."
sports,"Gymnastics appears to have been popular in China's ancient past. Monuments to the Pharaohs indicate that a number of sports, including swimming and fishing, were well-developed and regulated several thousands of years ago in ancient Egypt.[17] Other Egyptian sports included javelin throwing, high jump, and wrestling. Ancient Persian sports such as the traditional Iranian martial art of Zourkhaneh had a close connection to warfare skills.[18] Among other sports that originate in ancient Persia are polo and jousting."
sports,Motorized sports have appeared since the advent of the modern age
sports,Electronic sports are a recent development.
sports,"A wide range of sports were already established by the time of Ancient Greece and the military culture and the development of sports in Greece influenced one another considerably. Sports became such a prominent part of their culture that the Greeks created the Olympic Games, which in ancient times were held every four years in a small village in the Peloponnesus called Olympia.[19]"
sports,"Sports have been increasingly organised and regulated from the time of the ancient Olympics up to the present century. Industrialisation has brought increased leisure time, letting people attend and follow spectator sports and participate in athletic activities. These trends continued with the advent of mass media and global communication. Professionalism became prevalent, further adding to the increase in sport's popularity, as sports fans followed the exploits of professional athletes — all while enjoying the exercise and competition associated with amateur participation in sports. Since the turn of the 21st century, there has been increasing debate about whether transgender sportpersons should be able to participate in sport events that conform with their post-transition gender identity.[20]"
sports,"A wide range of sports were already established by the time of Ancient Greece and the military culture and the development of sports in Greece influenced one another considerably. Sports became such a prominent part of their culture that the Greeks created the Olympic Games, which in ancient times were held every four years in a small village in the Peloponnesus called Olympia.[19]"
sports,"Sports have been increasingly organised and regulated from the time of the ancient Olympics up to the present century. Industrialisation has brought increased leisure time, letting people attend and follow spectator sports and participate in athletic activities. These trends continued with the advent of mass media and global communication. Professionalism became prevalent, further adding to the increase in sport's popularity, as sports fans followed the exploits of professional athletes — all while enjoying the exercise and competition associated with amateur participation in sports. Since the turn of the 21st century, there has been increasing debate about whether transgender sportpersons should be able to participate in sport events that conform with their post-transition gender identity.[20]"
sports,"Sportsmanship is an attitude that strives for fair play, courtesy toward teammates and opponents, ethical behaviour and integrity, and grace in victory or defeat.[21][22][23]"
sports,"Sportsmanship expresses an aspiration or ethos that the activity will be enjoyed for its own sake. The well-known sentiment by sports journalist Grantland Rice, that it's ""not that you won or lost but how you played the game"", and the modern Olympic creed expressed by its founder Pierre de Coubertin: ""The most important thing... is not winning but taking part"" are typical expressions of this sentiment."
sports,"Technology plays an important part in modern sports. With it being a necessary part of some sports (such as motorsport), it is used in others to improve performance. Some sports also use it to allow off-field decision making."
sports,"Sports science is a widespread academic discipline, and can be applied to areas including athlete performance, such as the use of video analysis to fine-tune technique, or to equipment, such as improved running shoes or competitive swimwear. Sports engineering emerged as a discipline in 1998 with an increasing focus not just on materials design but also the use of technology in sport, from analytics and big data to wearable technology.[39] In order to control the impact of technology on fair play, governing bodies frequently have specific rules that are set to control the impact of technical advantage between participants. For example, in 2010, full-body, non-textile swimsuits were banned by FINA, as they were enhancing swimmers' performances."
sports,"An indoor 5-a-side version of football played with a smaller ball with much less bounce. Coordinated by the UoN Futsal club, this session is open to all ability levels and is a great chance to try one of the UK's fastest growing sports. "
sports,"Our social swimming lessons are designed for swimmers who are confident to swim independently. Novice swimmers are advised to sign up for a class from our swimming school programme. Sessions are at our University Park swimming pool, located behind the sports centre."
sports,"The second-fastest indoor sport (only ice hockey is faster!), handball is hugely popular across Europe. It's a team sport, where two teams of 8 pass a ball using their hands with the aim of getting it into the goal of the other team. Run by the UoN Handball club, this session is ideal for all levels and is the perfect opportunity to learn something new at University"
sports,"Yoga is  fast growing in popularity in the UK as an ideal way to build strength and flexibility whilst releasing tension. In this class, you'll move from posture to posture in a continuous flow. It's all about individual practice so no need to worry if you can't touch your toes! Taught by a UoN Student, the class is ideal for all students, whether you are trying yoga for the first time or are a seasoned yogi."
sports,"A great team game, basketball is a fast-paced ball sport where teams compete to score as many goals in the basket as they can. "
sports,"In competitive swimming, four major styles have been established. These have been relatively stable over the last 30–40 years with minor improvements. They are Butterfly Backstroke Breaststroke Freestyle"
sports,"In competition, only one of these styles may be used except in the case of the individual medley, or IM, which consists of all four. In this latter event, swimmers swim equal distances of butterfly, then backstroke, breaststroke, and finally, freestyle.[7] "
sports,"Swimming emerged as a competitive recreational activity in the 1830s in England. In 1828, the first indoor swimming pool,"
sports,"Swimming is an individual or team sport and activity. Competitive swimming is one of the most popular Olympic sports, with events in butterfly, backstroke, breaststroke, freestyle, and individual medley. In addition to these individual events, Olympic swimmers also take part in relays. Swimmers can also compete in open-water events "
sports,"The increase in technology has also allowed many decisions in sports matches to be taken, or reviewed, off-field, with another official using instant replays to make decisions. In some sports, players can now challenge decisions made by officials. In football, Goal-line technology makes decisions on whether a ball has crossed the goal line or not.[42] The technology is not compulsory,[43] but was used in the 2014 FIFA World Cup in Brazil,[44] and the 2015 FIFA Women's World Cup in Canada,[45] as well as in the Premier League from 2013–14,[46] and the Bundesliga from 2015–16.[47] In the NFL, a referee can ask for a review from the replay booth, or a head coach can issue a challenge to review the play using replays. The final decision rests with the referee.[48] A video referee (commonly known as a Television Match Official or TMO) can also use replays to help decision-making in rugby (both league and union).[49][50] In international cricket, an umpire can ask the Third umpire for a decision, and the third umpire makes the final decision.[51][52] Since 2008, a decision review system for players to review decisions has been introduced and used in ICC-run tournaments, and optionally in other matches.[51][53] Depending on the host broadcaster, a number of different technologies are used during an umpire or player review, including instant replays, Hawk-Eye, Hot Spot and Real Time Snickometer. Hawk-Eye is also used in tennis to challenge umpiring decisions."
school,"A school is an institution designed to provide learning spaces and learning environments for the teaching of students (or ""pupils"") under the direction of teachers."
school,"Most countries have systems of formal education, which is commonly compulsory."
school,"In these systems, students progress through a series of schools."
school,The names for these schools vary by country (discussed in the Regional section below) but generally include primary school for young children and secondary school for teenagers who have completed primary education. 
school,"An institution where higher education is taught, is commonly called a university college or university."
school,"In addition to these core schools, students in a given country may also attend schools before and after primary and secondary education. "
school,Kindergarten or pre-school provide some schooling to very young children (typically ages 3–5).
school,"University, vocational school, college or seminary may be available after secondary school. "
school,"A school may also be dedicated to one particular field, such as a school of economics or a school of dance. Alternative schools may provide nontraditional curriculum and methods."
school,"There are also non-government schools, called private schools. Private schools may be required when the government does not supply adequate, or special education. Other private schools can also be religious, such as Christian schools, hawzas (Muslim schools), yeshivas (Jewish schools), and others; or schools that have a higher standard of education or seek to foster other personal achievements. Schools for adults include institutions of corporate training, military education and training and business schools."
school,"In homeschooling and online schools, teaching and learning take place outside of a traditional school building. Schools are commonly organized in several different organizational models, including departmental, small learning communities, academies, integrated, and schools-within-a-school."
school,"The concept of grouping students together in a centralized location for learning has existed since Classical antiquity. Formal schools have existed at least since ancient Greece (see Academy), ancient Rome (see Education in Ancient Rome) ancient India (see Gurukul), and ancient China (see History of education in China). "
